#Name	HomeValue2000	Income1999	Poverty1999	PopDensity2000	PopChange	Prcnt65+	Below18	PrcntFemale2000	PrcntHSgrads2000	PrcntCollege2000	Unemployed	PrcntBelow18	LifeExpectancy	FarmAcres
CO Clear Creek	200400	28160	5.4	9322	1.3	7.1	2103	47.9	93.4	38.8	148	22.6	79.2	5114
CO Conejos	57000	12050	23	8400	-0.5	15	2699	50.4	72.1	14.4	259	32.1	76	284676
CO Costilla	61200	10748	26.8	3663	-0.4	16.8	916	50	68.2	12.8	153	25	76.1	363220
CO Crowley	57200	12836	18.5	5518	-1.5	10.8	1039	32.7	77.5	11.9	57	18.8	75.6	389724
CO Custer	134100	19817	13.3	3503	5.4	14.8	788	49	90.3	26.7	43	22.5	75.7	144247
CO Delta	115500	17152	12.1	27834	2.1	19.7	6686	49.8	80.1	17.6	493	24	76.2	281889
CO Denver	165800	24101	14.3	554636	0	11.3	121766	49.5	78.9	34.5	8620	22	74.3	74
CO Dolores	76800	17106	13.1	1844	-0.4	17.1	404	48.3	76	13.5	57	21.9	75.3	155741
CO Douglas	236000	34848	2.1	175766	13.6	4.2	55477	50.1	97	51.9	1260	31.6	79.1	204360
CO Eagle	369100	32011	7.8	41659	3.3	3	9788	45.2	86.6	42.6	527	23.5	79.2	185032
CO Elbert	221700	24960	4	19872	7.9	6	6003	49.8	92.5	26.6	337	30.2	79.1	1095248
CO El Paso	147100	22005	8	516929	3.2	8.7	142480	49.8	91.3	31.8	8588	27.6	76.8	866953
CO Fremont	104900	17420	11.7	46145	2.3	14.6	9504	42.8	80.5	13.5	679	20.6	75.8	283490
CO Garfield	200700	21341	7.5	43791	4	8.8	11881	48.6	85.4	23.8	638	27.1	77.4	427161
CO Gilpin	180600	26148	4	4757	1.4	5.7	1006	47	94.1	31.2	71	21.1	79.2	8771
CO Grand	205500	25198	7.3	12442	2.2	7.8	2711	47	92.3	34.5	135	21.8	79.2	251202
CO Gunnison	189400	21407	15	13956	-0.1	6.9	2499	45.8	94.1	43.6	379	17.9	78	195030
CO Hinsdale	213300	22360	7.2	790	1.3	11.6	154	48.6	93.1	34.9	14	19.5	78	8834
CO Huerfano	75200	15242	18	7862	-0.2	17	1647	45.7	77.8	16.1	198	20.9	76.1	641124
CO Jackson	86000	17826	14	1577	0.8	13.1	403	49.7	86.2	19.9	44	25.6	79.2	477063
CO Jefferson	187900	28066	5.2	527056	0.7	9.6	133486	50.2	91.8	36.5	6664	25.3	77.6	97623
CO Kiowa	46100	16382	12.2	1622	-5.2	17.6	420	50	86.3	16.1	34	25.9	77.3	913801
CO Kit Carson	80400	16964	12.1	8011	-2.5	14.6	2141	47.1	77	15.4	82	26.7	77.3	1345724
CO Lake	115400	18524	12.9	7812	-1.7	6.6	2100	46.3	79.5	19.5	157	26.9	78	17188
CO La Plata	183900	21534	11.7	43941	2.8	9.4	9967	49.1	91.4	36.4	926	22.7	77.5	580135
CO Larimer	172000	23689	9.2	251494	3.2	9.6	59755	50	92.3	39.5	4336	23.8	78.4	542259
CO Las Animas	84500	16829	17.3	15207	0.9	18	3687	51.1	76.9	16.2	343	24.2	76.1	2214992
CO Lincoln	77800	15510	11.7	6087	-2.6	14.3	1456	43.3	81.8	13.2	39	23.9	75.6	1648323
CO Logan	87700	16721	12.2	20504	2	14.5	5058	47.2	82.3	14.6	326	24.7	77.3	1128756
CO Mesa	118900	18715	10.2	116255	2.6	15.2	29067	51	85	22	2208	25	76.6	416613
CO Mineral	127400	24475	10.2	831	-2.6	17.3	170	49	91.6	31.2	12	20.5	78	
CO Moffat	104600	18540	8.3	13184	-0.2	9.4	3752	48.1	79.6	12.5	344	28.5	77.2	1031091
CO Montezuma	109100	17003	16.4	23830	0.9	13.8	6556	50.8	81.1	21	583	27.5	75.3	935330
CO Montrose	121200	17158	12.6	33432	3.4	15.2	8944	50.8	80.7	18.7	818	26.8	77	371881
CO Morgan	95900	15492	12.4	27171	1.4	13	8252	49.9	71.4	13.5	394	30.4	75.5	741007
CO Otero	66300	15113	18.8	20311	-1.7	16.5	5458	51.1	75.7	15.4	414	26.9	75.6	579647
CO Ouray	244700	24335	7.2	3742	3.7	12.2	841	49.5	93.4	36.8	66	22.5	78	116906
CO Park	172100	25019	5.6	14523	7.3	7.3	3418	48.3	93.3	30.3	239	23.5	79.2	311182
CO Phillips	79800	16394	11.6	4480	-0.2	19.4	1203	51.7	81.6	19.9	34	26.9	77.3	463376
CO Pitkin	750000	40811	6.2	14872	-0.4	6.8	2478	46.5	96.3	57.1	298	16.7	78	25209
CO Prowers	67900	14150	19.5	14483	-1.9	12.6	4345	49.7	72	11.9	207	30	76.2	862953
CO Pueblo	95200	17163	14.9	141472	2.5	15.2	36546	51.1	81.3	18.3	2894	25.8	75.7	822584
CO Rio Blanco	94700	17344	9.6	5986	-0.7	11.2	1587	49.5	88.4	19.5	120	26.5	77.2	466272
CO Rio Grande	82400	15650	14.5	12413	-0.9	14.7	3494	50.7	78.1	18.8	349	28.1	76	231734
CO Routt	268500	28792	6.1	19690	2.9	5	4451	46.2	95.3	42.5	307	22.6	77.2	520618
CO Saguache	73900	13121	22.6	5917	5.2	10.8	1680	49.6	70	19.6	230	28.4	76	481541
CO San Juan	131500	17584	20.9	558	5	7	112	47.5	92.1	43.7	33	20.1	75.3	
CO San Miguel	358200	35329	10.4	6594	5.4	3.4	1163	45.3	93.6	48.5	193	17.6	78	161937
CO Sedgwick	57100	16125	10	2747	-2.9	22.1	625	50	79.3	13.4	30	22.8	77.3	294185
CO Summit	317500	28676	9	23548	2.9	3.3	4089	41.8	93.3	48.3	281	17.4	79.2	34541
CO Teller	162000	23412	5.4	20555	4.2	7.5	5322	49.3	94	31.7	456	25.9	76.8	83443
CO Washington	70800	17788	11.4	4926	-1.3	18.2	1303	49.2	81.7	14.3	58	26.5	77.3	1394238
CO Weld	140400	18957	12.5	180936	7.7	9	51033	49.9	79.6	21.6	3083	28.2	77.3	1913603
CO Yuma	77100	16005	12.9	9841	0.2	16.3	2787	50.8	79.5	15.5	108	28.3	77.3	1365183
CT Fairfield	288900	38350	6.9	882567	0.3	13.3	226214	51.7	84.4	39.9	12635	25.6	76.8	11935
CT Hartford	147300	26047	9.3	857183	0.5	14.7	210832	51.9	82.4	29.6	14260	24.6	76.7	52922
CT Litchfield	156600	28408	4.5	182193	1.2	14.2	44846	51.1	85.9	27.5	2616	24.6	77.9	90538
CT Middlesex	166000	28251	4.6	155071	1.6	13.6	35980	51.3	88.7	33.8	2222	23.2	77.6	18682
CT New Haven	151900	24439	9.5	824008	0.5	14.5	201679	52	83	27.6	13759	24.5	76.1	24563
CT New London	142200	24678	6.4	259088	0	13	63231	50.5	86	26.2	4274	24.4	76.6	67924
CT Tolland	151600	25474	5.6	136364	1.9	10.2	31520	49.9	89.2	32.8	1648	23.1	77.6	36235
CT Windham	117200	20443	8.5	109091	1	12.3	27386	50.7	79.6	19	2034	25.1	76.3	56514
DE Kent	114100	18662	10.7	126697	1.9	11.7	34533	51.8	79.4	18.6	2601	27.3	74.6	194554
DE New Castle	136000	25413	8.4	500265	1.1	11.6	124749	51.4	85.5	29.5	8031	24.9	74.9	77302
DE Sussex	122400	20328	10.5	156638	3	18.5	35305	51.1	76.5	16.6	3017	22.5	73.7	307689
DC District of Columbia	157200	28659	20.2	572059	0	12.2	114992	52.9	77.8	39.1	17692	20.1		
FL Alachua	97300	18465	22.8	217955	0.4	9.6	43938	51.2	88.1	38.7	2248	20.2	75.1	198193
FL Baker	80900	15164	14.7	22259	2	9.2	6118	47.5	71.9	8.2	287	27.5	71.6	13035
FL Bay	93500	18700	13	148217	1.4	13.4	35642	50.5	81	17.7	4037	24	74.8	6732
FL Bradford	71700	14226	14.6	26088	1.3	12.9	5725	44.1	74.2	8.4	320	21.9	72.6	43579
FL Brevard	94400	21484	9.5	476230	2.8	19.9	104699	51	86.3	23.6	8019	22	77.1	276573
FL Broward	128600	23170	11.5	1623018	2.8	16.1	382929	51.7	82	24.5	31157	23.6	76.1	30897
FL Calhoun	58500	12379	20	13017	0	14	3021	46	69.1	7.7	316	23.2	73.5	43799
FL Charlotte	97000	21806	8.2	141627	3.8	34.7	22186	52.2	82.1	17.6	1509	15.7	78.8	290340
FL Citrus	84400	18585	11.7	118085	3.7	32.2	20330	52	78.3	13.2	1667	17.2	76.6	49192
FL Clay	108400	20868	6.8	140814	4.8	9.8	39385	50.8	86.4	20.1	1824	28	75.7	70834
FL Collier	168000	31195	10.3	251377	5.7	24.5	49941	49.9	81.8	27.9	3530	19.9	78.3	277279
FL Columbia	73600	14598	15	56513	2.3	14	14337	49.3	74.7	10.9	1060	25.4	73.8	97100
FL Dade	124000	18497	18	2253362	1.6	13.3	559213	51.7	67.9	21.7	60550	24.8	75.4	85093
FL DeSoto	69900	14000	23.6	32209	0.7	19	7310	43.8	63.5	8.4	565	22.7	74.2	322402
FL Dixie	61700	13559	19.1	13827	1.2	17.1	3055	46.7	65.9	6.8	192	22.1	73.6	33508
FL Duval	89600	20753	11.9	778879	1.7	10.5	204991	51.5	82.7	21.9	11837	26.3	73	35531
FL Escambia	85700	18641	15.4	294410	-0.4	13.3	69271	50.3	82.1	21	4270	23.5	74.3	54617
FL Flagler	116200	21879	8.7	49832	10.3	28.6	8925	52.1	85.9	21.2	562	17.9	77.6	87737
FL Franklin	105300	16140	17.7	11057	1.3	15.7	1989	43.5	68.3	12.4	210	18	73.5	5125
FL Gadsden	70100	14499	19.9	45087	0.5	12.2	11919	52.4	70.7	12.9	703	26.4	71.7	57933
FL Gilchrist	78000	13985	14.1	14437	2.7	13.6	3529	47.1	72.4	9.4	173	24.4	73.3	78090
FL Glades	72400	15338	15.2	10576	1.6	18.8	2337	45.1	69.8	9.8	275	22.1	73.4	380377
FL Gulf	77200	14449	16.7	13332	0.6	16.2	2895	46.6	72.6	10.1	721	21.7	73.5	3823
FL Hamilton	54600	10562	26	13327	1.3	11.2	3137	42.5	62.9	7.3	220	23.5	73.4	66379
FL Hardee	59600	12445	24.6	26938	-0.7	13.9	7435	45.6	58	8.4	943	27.6	74.2	345643
FL Hendry	71500	13663	24.1	36210	1	10.1	10874	44.4	54.2	8.2	1895	30	73.4	604677
FL Hernando	87300	18321	10.3	130802	3.8	30.9	24726	52.5	78.5	12.7	1588	18.9	77.1	52999
FL Highlands	72800	17222	15.2	87366	1.8	33	16744	51.2	74.5	13.6	1753	19.2	75.9	489579
FL Hillsborough	97700	21812	12.5	998948	2.8	12	253138	51.1	80.8	25.1	14326	25.3	74.6	247502
FL Holmes	56200	14135	19.1	18564	1.3	14.8	4285	47	65.2	8.8	358	23.1	73.9	87582
FL Indian River	104000	27227	9.3	112947	3.1	29.2	21694	51.6	81.6	23.1	3375	19.2	77.7	168399
FL Jackson	66700	13905	17.2	46755	0	14.6	10449	47.5	69.1	12.8	1133	22.3	74.3	244552
FL Jefferson	77000	17006	17.1	12902	0.3	14.5	2930	49	73.2	16.9	204	22.7	72.6	126590
FL Lafayette	67100	13087	17.5	7022	3.2	12.4	1523	40.2	68.2	7.2	66	21.7	73.6	93434
FL Lake	100600	20199	9.6	210528	8.1	26.4	42719	51.6	79.8	16.6	2329	20.3	76.8	185311
FL Lee	112900	24542	9.7	440888	4.9	25.4	86388	51.1	82.3	21.1	4598	19.6	77.7	129001
FL Leon	110900	21024	18.2	239452	0	8.3	51007	52.3	89.1	41.7	3187	21.3	76	67539
FL Levy	75800	14746	18.6	34450	3.1	17.9	8131	51.6	73.9	10.6	405	23.6	73.3	157376
FL Liberty	66300	17225	19.9	7021	0.7	10.2	1531	40.8	65.6	7.4	109	21.8	76	7238
FL Madison	54800	12511	23.1	18733	-0.1	14.6	4736	48.2	67.5	10.2	266	25.3	73.4	131577
FL Manatee	119400	22388	10.1	264002	4	24.9	54647	51.7	81.4	20.8	2663	20.7	77.6	267993
FL Marion	81300	17848	13.1	258916	3.5	24.5	55425	51.7	78.2	13.7	3566	21.4	75.7	265572
FL Martin	152400	29584	8.8	126731	2.8	28.2	23623	50.9	85.3	26.3	2392	18.6	78	183724
FL Monroe	241200	26102	10.2	79589	-1.3	14.6	13605	46.8	84.9	25.5	1024	17.1	76.3	1241
FL Nassau	126700	22836	9.1	57663	3.8	12.6	14439	50.7	81	18.9	954	25	74.6	35165
FL Okaloosa	101200	20918	8.8	170498	1.5	12.1	42133	49.5	88	24.2	2636	24.7	76	50822
FL Okeechobee	77600	14553	16	35910	1.3	16.3	9051	46.4	65.1	8.9	1185	25.2	73.6	391871
FL Orange	107500	20916	12.1	896344	3	10	226340	50.5	81.8	26.1	13377	25.3	76	175017
FL Osceola	99300	17022	11.5	172493	5.5	11.4	46214	50.7	79.1	15.7	2271	26.8	77.1	610825
FL Palm Beach	135200	28801	9.9	1131184	3	23.2	240458	51.7	83.6	27.7	25472	21.3	77.1	604703
FL Pasco	79600	18439	10.7	344765	5.2	26.8	69514	52	77.6	13.1	4249	20.2	76.9	161939
FL Pinellas	96500	23497	10	921482	0.3	22.5	177533	52.4	84	22.9	12698	19.3	76.6	1895
FL Polk	83300	18302	12.9	483924	1.8	18.3	118205	50.9	74.8	14.9	9711	24.4	75.7	621489
FL Putnam	68500	15603	20.9	70423	0.6	18.5	17304	50.6	70.4	9.4	1395	24.6	73.6	85794
FL St.Johns	158400	28674	8	123135	6.9	15.9	28399	51.4	87.2	33.1	1476	23.1	76.1	49631
FL St.Lucie	86100	18790	13.4	192695	3.8	22.7	43583	51.2	77.7	15.1	6993	22.6	75.9	227414
FL Santa Rosa	106000	20089	9.8	117743	4.6	11	31269	49.8	85.4	22.9	2067	26.6	75.8	87971
FL Sarasota	122000	28326	7.8	325957	2.9	31.5	52827	52.6	87.1	27.4	3247	16.2	78.3	128655
FL Seminole	119900	24591	7.4	365196	2.5	10.6	92606	51	88.7	31	5794	25.4	77.4	37222
FL Sumter	100400	16830	13.7	53345	2.2	27.4	8570	46.9	77.3	12.2	392	16.1	74.7	183374
FL Suwannee	68500	14678	18.5	34844	2.4	16.9	8369	51.2	73.2	10.5	520	24	73.6	158406
FL Taylor	66000	15281	18	19256	-0.1	14.1	4731	48.9	70	8.9	525	24.6	72.6	56784
FL Union	71700	12333	14	13442	1.7	7.5	2937	35.3	72.5	7.5	90	21.8	71.6	62503
FL Volusia	87300	19664	11.6	443343	2.5	22.1	89862	51.4	82	17.6	5382	20.3	76.3	111502
FL Wakulla	96200	17678	11.3	22863	8.3	10.3	5864	48.2	78.4	15.7	331	25.6	76	11426
FL Walton	96400	18198	14.4	40601	5	15.8	8795	48.7	76	16.2	579	21.7	74	78844
FL Washington	70000	14980	19.2	20973	1	15.7	4905	48.6	71.2	9.2	393	23.4	73.9	55268
GA Appling	63700	15044	18.6	17419	0.3	11.8	4729	50.7	67.3	8.4	814	27.1	72.3	107573
GA Atkinson	46700	12178	23	7609	-0.5	9.3	2308	50.5	56.3	6.9	206	30.3	71.9	62779
GA Bacon	56500	14289	23.7	10103	-1.1	12.8	2648	51	67.7	6.6	308	26.2	72.3	70445
GA Baker	62700	16969	23.4	4074	0.7	13.7	1113	53.7	66	10.7	113	27.3	72.6	119192
GA Baldwin	79800	16271	16.8	44700	0.2	10.6	9721	46	72.6	16.2	1057	21.7	73.6	30344
GA Banks	92400	17424	12.5	14422	2.9	10.5	3776	49.5	65.4	8.6	237	26.2	74.8	47447
GA Barrow	103400	18350	8.3	46144	6.1	9.1	13125	50.3	73.3	10.9	629	28.4	74.2	41231
GA Bartow	99600	18989	8.6	76019	5.3	9.4	21199	50.6	71.8	14.1	1576	27.9	73.7	84325
GA Ben Hill	60700	14093	22.3	17484	-1.4	13.3	4809	52.1	65.8	9.5	600	27.5	71	53325
GA Berrien	70700	16375	17.7	16235	-0.9	12.5	4424	50.9	66	9.4	458	27.2	71.9	130928
GA Bibb	84400	19058	19.1	153887	-0.2	12.7	40880	54	77.2	21.3	3710	26.6	71.3	22064
GA Bleckley	66500	15934	15.9	11666	0.6	13.6	3101	51.8	71.7	12.5	252	26.6	72.2	70896
GA Brantley	60900	13713	15.6	14629	1.7	10.1	4145	49.8	72.5	6.2	407	28.3	72.6	27780
GA Brooks	67900	13977	23.4	16450	-0.3	15	4425	52	67.5	11.3	342	26.9	72.6	189373
GA Bryan	115600	19794	11.7	23417	4.8	7.3	7289	50.5	79	19.3	366	31.1	74.2	25477
GA Bulloch	94300	16080	24.5	55983	1.7	9.3	12480	51.3	77.9	25.4	681	22.3	74.8	199928
GA Burke	59800	13136	28.7	22243	1.6	10.9	6954	52.5	64.9	9.5	837	31.3	71.2	209708
GA Butts	86700	17016	11.5	19522	5.7	10.2	4699	46.7	69.8	8.6	361	24.1	73.1	27488
GA Calhoun	48200	11839	26.5	6320	-0.2	12.6	1395	43.5	65.5	11.7	214	22.1	71.3	128537
GA Camden	85300	16445	10.1	43664	0.9	5.2	13832	48.3	83.3	16	625	31.7	75.2	18963
GA Candler	62700	12958	26.1	9577	-0.7	15.2	2568	49.8	56.9	10.2	225	26.8	71.8	78376
GA Carroll	93300	17656	13.7	87268	5.4	10	22630	51.3	71.1	16.5	2010	25.9	74.4	77944
GA Catoosa	90800	18009	9.4	53282	3.6	11.9	13756	51.6	76	13.8	855	25.8	75.4	21872
GA Charlton	67300	12920	20.9	10282	1.1	9.7	2826	47.1	65.1	6.4	176	27.5	72.6	20362
GA Chatham	95000	21152	15.6	232048	0	12.8	58083	51.8	80.2	25	4710	25	73	8694
GA Chattahoochee	63800	14049	10.6	14882	1.7	1.8	4226	36.8	88.8	25	167	28.4	73.1	4070
GA Chattooga	59900	14508	14.3	25470	1.7	14.3	5834	48.4	60.4	7.7	481	22.9	72.6	55325
GA Cherokee	139900	24871	5.3	141903	7.2	6.6	40110	49.8	84.4	27	1639	28.3	76.6	32167
GA Clarke	111300	17123	28.3	101489	0.3	8.1	18108	51.2	81	39.8	1307	17.8	75.4	12660
GA Clay	53600	16819	31.3	3357	1	19.5	864	54.5	64.3	10.1	100	25.7	71.3	44309
GA Clayton	92700	18079	10.1	236517	4.3	5.9	70921	51.4	80.1	16.6	4352	30	74.1	4922
GA Clinch	54600	13023	23.4	6878	-0.7	11.8	1916	50.3	58.9	10.4	127	27.9	71.9	16166
GA Cobb	147600	27863	6.5	607751	4	6.9	158406	50.4	88.8	39.8	9145	26.1	76.2	9906
GA Coffee	68800	15530	19.1	37413	1.1	9.9	10582	50.4	64.8	10	1009	28.3	72.3	204165
GA Colquitt	65400	14457	19.8	42053	0.4	12.9	11543	50.5	64.9	11.4	1211	27.4	72.3	229221
GA Columbia	118000	23496	5.1	89288	3.5	8	26430	51.1	87.9	32	1405	29.6	75.6	29146
GA Cook	60900	13465	20.7	15771	0.5	13	4453	52	64.6	8.1	385	28.2	72.6	83769
GA Coweta	121700	21949	7.8	89215	6	8.5	25642	50.5	81.6	20.6	1280	28.7	73.8	42592
GA Crawford	77800	15768	15.4	12495	0.5	9.2	3448	49.9	67.3	6.8	246	27.6	72.1	37390
GA Crisp	74400	14695	29.3	21996	0.6	13	6378	53	65.9	12.8	578	29	71.3	115390
GA Dade	79200	16127	9.7	15154	2.3	12	3613	51	67	10.9	278	23.8	74	25703
GA Dawson	142500	22520	7.6	15999	7.4	9.3	4008	49.8	79.5	18.1	321	25.1	73.5	19138
GA Decatur	69500	15063	22.7	28240	-0.2	13.3	8062	52.4	69.7	12.1	665	28.5	71.4	164393
GA DeKalb	135100	23968	10.8	665865	-0.1	8	163978	51.5	85.1	36.3	14076	24.6	74.8	6182
GA Dodge	54200	14468	17.4	19171	-0.1	13.2	4979	48.8	66.3	11.6	501	26	71.4	155667
GA Dooly	62300	13628	22.1	11525	1.1	11.8	2948	47.7	68.5	9.6	307	25.6	71.5	164693
GA Dougherty	73900	16645	24.8	96065	-0.4	11.7	26576	53.4	73.7	17.8	3754	27.7	73.1	83267
GA Douglas	102700	21172	7.8	92174	4.2	7.5	25435	50.9	81.1	19.2	1503	27.6	74.8	9778
GA Early	58600	14936	25.7	12354	-0.6	15.7	3541	53.4	68.4	12.6	415	28.7	72.6	172757
GA Echols	76000	15727	28.7	3754	-0.7	9.1	1100	46.3	60.5	8.4	56	29.3	71.9	17896
GA Effingham	106600	18873	9.3	37535	5.5	8	11234	50.3	78.9	13.6	601	29.9	74.2	52479
GA Elbert	66600	14535	17.3	20511	0.7	14.9	5302	52	67.2	9.8	648	25.8	73.1	57022
GA Emanuel	50800	13627	27.4	21837	0.1	13.3	6075	51.9	61.4	10.1	912	27.8	71.8	153224
GA Evans	69000	12758	27	10495	2.3	12.6	2884	51.4	65.7	9	191	27.5	72.7	43351
GA Fannin	86200	16269	12.4	19798	4.4	19	4144	51.7	70.9	10.4	396	20.9	75.1	15052
GA Fayette	171500	29464	2.6	91263	4.7	8.9	26554	51.1	92.4	36.2	927	29.1	78.1	18350
GA Floyd	83500	17808	14.4	90565	0.7	13.9	22236	51.6	71.5	15.8	2174	24.6	73.5	83367
GA Forsyth	184600	29114	5.5	98407	12.1	7.1	27466	49.3	85.7	34.6	870	27.9	76	30935
GA Franklin	84600	15767	13.9	20285	2.5	15.3	4854	51.5	67	10.3	342	23.9	74.8	77352
GA Fulton	180700	30003	15.7	816006	0.1	8.5	199290	50.8	84	41.4	15471	24.4	71	27169
GA Gilmer	95700	17147	12.5	23456	3.8	13.1	5703	49.3	66	12.9	310	24.3	75.1	23053
GA Glascock	48600	14185	17.2	2556	1.1	18.2	609	52	66.1	6.5	69	23.8	71.4	20227
GA Glynn	114500	21707	15.1	67568	1	14.4	17108	52.2	82.2	23.8	1160	25.3	74.5	7742
GA Gordon	83600	17586	9.9	44104	3.3	10.6	11498	50.2	65.9	10.6	1137	26.1	73.7	68855
GA Grady	74900	14278	21.3	23659	0.2	13.2	6453	52.5	69.4	10.6	847	27.3	72.4	127467
GA Greene	87100	23389	22.3	14406	3.5	14.4	3614	52.1	70.1	17.6	351	25.1	72.3	52426
GA Gwinnett	142100	25006	5.7	588448	5.6	5.4	165993	49.6	87.3	34.1	7969	28.2	76.8	31360
GA Habersham	99700	17706	12.2	35902	3.5	13.8	8431	48.7	70.9	15.8	569	23.5	76.4	31278
GA Hall	120200	19690	12.4	139277	4.6	9.4	37517	49.1	70.5	18.7	1856	26.9	74.9	51065
GA Hancock	53000	10916	29.4	10076	-0.1	12	2425	46.6	62.2	9.8	502	24.1	71.2	33653
GA Haralson	76500	15823	15.5	25690	2.2	13	6698	51.2	63	9	467	26.1	74.2	30710
GA Harris	122700	21680	8.2	23695	3.6	11.9	6065	50.6	79	21.1	334	25.6	72.4	46940
GA Hart	89900	16714	14.8	22997	0.4	16.5	5402	50.8	71.1	13.5	391	23.5	74.8	57884
GA Heard	72900	15132	13.6	11012	2	11	3164	50.9	66	7.3	317	28.7	74.4	27641
GA Henry	122400	22945	4.9	119341	11.1	7.4	34861	50.7	84.2	19.5	1246	29.2	75	44643
GA Houston	88900	19515	10.2	110765	2.4	9.3	31216	50.8	84.3	19.8	2004	28.2	74.6	87064
GA Irwin	58100	14867	17.8	9931	1	14.1	2860	50.9	67.7	9.9	228	28.8	71	131747
GA Jackson	102900	17808	12	41589	5.8	10.4	11071	49.9	68.1	11.7	811	26.6	73.9	77484
GA Jasper	81000	19249	14.2	11426	4.2	11.8	3109	51	69.7	11.5	187	27.2	74	51948
GA Jeff Davis	61000	13780	19.4	12684	0.6	11.9	3454	50.9	63.3	9.4	377	27.2	72.3	71201
GA Jefferson	56900	13491	23	17266	-1	13.7	4903	52.9	58.5	9.1	1005	28.4	71.4	141922
GA Jenkins	49400	13400	28.4	8575	0.7	13.6	2443	52.1	62	10.8	209	28.5	71.2	93094
GA Johnson	48000	12384	22.6	8560	0.2	15.6	2579	50.7	62.4	7.8	308	30.1	73	96151
GA Jones	91200	19126	10.2	23639	2.4	10.3	6411	51.2	77.9	15	500	27.1	75.2	30901
GA Lamar	79900	16666	11.2	15912	2.2	12.6	3899	52.1	71.3	11.3	405	24.5	73.4	37885
GA Lanier	62200	13690	18.5	7241	-1.4	10.6	1983	49.3	67	8.8	145	27.4	71.9	42890
GA Laurens	73900	16763	18.4	44874	1.1	13.3	12045	51.9	70.3	14.4	1786	26.8	72.2	198424
GA Lee	102900	19897	8.2	24757	3.2	6.3	7589	49.5	81.3	17	545	30.7	73.1	137980
GA Liberty	79800	13855	15	61610	-2.4	3.9	19694	47.3	86.8	14.5	1067	32	74.6	20989
GA Lincoln	82000	15351	15.3	8348	0.9	14.6	2037	51.3	71	10.1	380	24.4	73.1	31176
GA Long	71100	12586	19.5	10304	2.4	5.8	3411	49.5	74.3	5.8	108	33.1	72.7	18875
GA Lowndes	87600	16683	18.3	92115	0.1	9	24134	50.3	77.7	19.7	1887	26.2	73	72158
GA Lumpkin	111800	18062	13.2	21016	4	9.7	5102	50.9	72	17.6	236	24.3	76.3	25228
GA McDuffie	74600	18005	18.4	21231	0.3	11.9	5916	52.8	66.7	11.7	659	27.9	71.9	41157
GA McIntosh	81700	14253	18.7	10847	2.2	11.8	3042	50.5	71.2	11.1	195	28	72.7	4205
GA Macon	54200	11820	25.8	14074	0.4	12.7	3887	50.4	63.2	10	475	27.6	71.5	118762
GA Madison	87300	16998	11.6	25730	1.9	11	6764	50.9	70.8	10.9	421	26.3	74.8	69675
GA Marion	70400	14044	22.4	7144	0.8	10.5	2025	50.8	65.4	8.9	173	28.3	73.1	51645
GA Meriwether	66300	15708	17.8	22534	0.4	13.6	5998	52.2	65.8	10.8	517	26.6	72	68856
GA Miller	57600	15435	21.2	6383	0	17.1	1678	52.9	69	11.3	154	26.3	72.6	116040
GA Mitchell	64500	13042	26.4	23932	0.5	11.7	6540	49.1	65.3	9.1	929	27.3	72.4	221107
GA Monroe	103600	19580	9.8	21757	1.8	10.3	5713	50.2	77.7	17.1	424	26.3	73.1	56780
GA Montgomery	68300	14182	19.9	8270	1.1	10.6	2071	48.8	71.4	13.5	385	25	73	75051
GA Morgan	99700	18823	10.9	15457	4.5	12.5	4106	51.6	74	18.7	274	26.6	76.7	87644
GA Murray	85700	16230	12.7	36506	3.4	8	10204	50	61.1	7.2	607	28	74.9	34802
GA Muscogee	84000	18262	15.7	186291	-1.2	11.7	50002	51.4	78.9	20.3	4756	26.8	72.4	8499
GA Newton	101300	19317	10	62001	9.8	9.9	17157	51.4	74.7	14.5	1025	27.7	73.2	45579
GA Oconee	151600	24153	6.5	26225	3.2	8.5	7931	50.7	86.7	39.8	200	30.2	76.7	51254
GA Oglethorpe	87500	17089	13.2	12635	2.6	12.4	3258	51.4	72.1	15.6	192	25.8	72.3	62583
GA Paulding	106100	19974	5.5	81678	9.9	5.9	25079	50	80.8	15.2	877	30.7	75.1	18369
GA Peach	78300	16031	20.2	23668	2.2	9.8	6163	51.6	73.4	16.8	646	26	72.2	50967
GA Pickens	113100	19774	9.2	22983	7.8	13.2	5413	51.1	70.2	15.6	284	23.6	73.5	15925
GA Pierce	64300	14230	18.4	15636	0.4	12.2	4169	50.8	69.8	10.1	388	26.7	72.6	100463
GA Pike	103000	17661	9.6	13688	4.1	10.9	3779	50	75.3	14	267	27.6	73.4	47971
GA Polk	73900	15617	15.5	38127	1.9	13.2	9937	50.2	63.3	8	947	26.1	72.2	50429
GA Pulaski	75400	16435	16.4	9588	0.1	13.3	2216	57.4	73.4	12.9	225	23.1	72.2	92384
GA Putnam	102300	20161	14.6	18812	1.5	14.1	4368	50.8	75.5	14.4	326	23.2	74	31290
GA Quitman	51300	14301	21.9	2598	0.5	19.9	623	52.9	57.8	6.1	48	24	71.3	11348
GA Rabun	112400	20608	11.1	15050	1.8	18.1	3286	50.7	75.4	17.6	205	21.8	76.7	10865
GA Randolph	48600	11809	27.7	7791	-1.9	15.6	2129	53.8	62.4	9.5	286	27.3	71.3	94286
